"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score","business_id"
0,1,0,0,1,0,1,1,0,2,3,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,1,1,1,2,1,2,5,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,2,0,2,6,"gebiRewfieSdtt17PTW6Zg"
1,4,3,2,4,2,1,4,5,6,-5,"gebiRewfieSdtt17PTW6Zg"
1,2,0,1,3,0,1,1,1,3,5,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,0,2,0,2,3,"gebiRewfieSdtt17PTW6Zg"
0,4,1,0,3,1,2,9,2,16,15,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,2,4,0,6,4,"gebiRewfieSdtt17PTW6Zg"
3,4,2,1,5,2,2,3,5,9,5,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,1,2,1,5,3,"gebiRewfieSdtt17PTW6Zg"
1,1,1,0,0,2,0,0,2,3,-1,"gebiRewfieSdtt17PTW6Zg"
2,6,1,4,5,2,1,8,4,11,2,"gebiRewfieSdtt17PTW6Zg"
2,3,3,2,5,2,2,4,4,8,6,"gebiRewfieSdtt17PTW6Zg"
0,1,0,1,3,2,1,1,2,4,6,"gebiRewfieSdtt17PTW6Zg"
0,5,0,0,6,0,0,7,0,9,12,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,0,1,0,1,5,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,5,0,1,3,1,7,9,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,0,3,0,3,6,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,1,3,0,4,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,2,0,3,2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,0,1,0,4,3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,0,2,0,2,4,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,5,0,1,3,1,6,9,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,2,0,0,4,1,5,7,"gebiRewfieSdtt17PTW6Zg"
1,2,0,0,4,1,2,5,1,13,11,"gebiRewfieSdtt17PTW6Zg"
2,1,1,1,3,1,1,3,2,4,2,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,1,2,0,4,6,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,3,3,1,1,3,5,4,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,0,0,2,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,1,3,0,3,2,"gebiRewfieSdtt17PTW6Zg"
1,3,1,0,3,1,1,5,1,5,3,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,1,0,1,1,0,1,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,1,1,0,1,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,0,4,0,6,8,"gebiRewfieSdtt17PTW6Zg"
4,3,3,4,5,6,3,8,14,13,7,"gebiRewfieSdtt17PTW6Zg"
0,5,0,0,7,1,2,9,3,11,4,"gebiRewfieSdtt17PTW6Zg"
0,5,0,0,5,0,2,4,1,5,6,"gebiRewfieSdtt17PTW6Zg"
1,5,1,1,3,1,2,5,3,7,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,1,2,0,4,6,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,3,0,0,3,1,6,6,"gebiRewfieSdtt17PTW6Zg"
2,5,1,0,8,3,1,7,6,10,10,"gebiRewfieSdtt17PTW6Zg"
2,1,3,1,1,2,0,2,4,4,1,"gebiRewfieSdtt17PTW6Zg"
0,1,0,1,3,0,1,2,1,3,2,"gebiRewfieSdtt17PTW6Zg"
1,1,1,0,2,1,0,1,3,4,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,2,0,3,9,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,0,1,1,6,6,"gebiRewfieSdtt17PTW6Zg"
1,3,0,0,2,0,0,1,0,2,4,"gebiRewfieSdtt17PTW6Zg"
3,8,2,3,9,3,5,12,7,15,13,"gebiRewfieSdtt17PTW6Zg"
1,2,0,0,4,0,2,3,0,5,5,"gebiRewfieSdtt17PTW6Zg"
0,5,0,1,4,1,2,4,2,7,6,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,0,2,0,3,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,0,0,0,2,4,"gebiRewfieSdtt17PTW6Zg"
0,3,0,1,3,0,2,2,0,4,5,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,0,1,0,0,1,1,0,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,2,0,0,1,0,4,5,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,0,3,2,3,2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,1,2,0,3,3,"gebiRewfieSdtt17PTW6Zg"
1,2,0,0,2,0,0,2,0,2,5,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,5,0,2,4,0,6,8,"gebiRewfieSdtt17PTW6Zg"
1,1,1,2,0,2,3,1,4,5,2,"gebiRewfieSdtt17PTW6Zg"
1,3,1,1,0,1,0,0,3,2,-1,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,0,1,0,4,2,"gebiRewfieSdtt17PTW6Zg"
1,0,1,1,0,1,0,0,1,0,3,"gebiRewfieSdtt17PTW6Zg"
2,1,1,2,3,2,0,4,4,5,-3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,0,0,0,3,3,"gebiRewfieSdtt17PTW6Zg"
1,2,1,1,3,2,0,5,2,6,1,"gebiRewfieSdtt17PTW6Zg"
1,0,0,0,1,1,1,3,2,2,1,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,1,1,0,3,4,"gebiRewfieSdtt17PTW6Zg"
0,3,0,1,2,0,1,3,1,3,3,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,4,1,1,3,1,5,5,"gebiRewfieSdtt17PTW6Zg"
1,4,1,3,4,2,2,4,3,5,0,"gebiRewfieSdtt17PTW6Zg"
1,0,0,0,1,1,0,2,3,2,-4,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,0,1,3,"gebiRewfieSdtt17PTW6Zg"
1,2,2,2,1,1,0,2,5,6,-1,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,0,0,3,"gebiRewfieSdtt17PTW6Zg"
1,1,1,0,1,1,0,1,1,1,0,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,5,0,1,5,2,10,3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,3,0,0,3,0,4,5,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,2,0,3,3,1,3,4,"gebiRewfieSdtt17PTW6Zg"
1,3,2,1,4,2,1,2,2,5,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,0,1,0,1,3,"gebiRewfieSdtt17PTW6Zg"
3,2,2,2,2,2,2,2,3,4,1,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,1,0,2,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,0,1,0,2,5,"gebiRewfieSdtt17PTW6Zg"
3,5,3,3,10,5,6,7,5,18,10,"gebiRewfieSdtt17PTW6Zg"
1,1,2,1,2,2,1,2,4,5,2,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,3,0,0,1,0,3,4,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,1,0,1,0,4,4,"gebiRewfieSdtt17PTW6Zg"
4,0,4,3,1,4,0,2,4,2,-4,"gebiRewfieSdtt17PTW6Zg"
1,2,0,1,3,1,0,3,1,3,5,"gebiRewfieSdtt17PTW6Zg"
1,4,1,1,4,1,2,3,1,6,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,1,1,0,1,3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,0,1,0,4,6,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,1,1,0,4,5,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,3,0,0,2,0,4,4,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,0,3,0,5,2,"gebiRewfieSdtt17PTW6Zg"
2,0,0,2,2,2,1,1,3,1,-1,"gebiRewfieSdtt17PTW6Zg"
0,1,0,1,1,0,0,0,0,2,1,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,0,1,3,"gebiRewfieSdtt17PTW6Zg"
1,0,0,0,2,1,0,2,2,1,3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,3,0,0,3,0,4,5,"gebiRewfieSdtt17PTW6Zg"
1,2,1,0,4,1,0,4,1,4,4,"gebiRewfieSdtt17PTW6Zg"
1,6,0,1,5,2,4,8,3,14,10,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,0,1,1,"gebiRewfieSdtt17PTW6Zg"
0,0,0,1,1,2,1,1,3,2,-2,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,0,0,2,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,5,0,1,5,0,7,6,"gebiRewfieSdtt17PTW6Zg"
1,1,0,1,4,1,1,2,1,5,4,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,0,2,2,"gebiRewfieSdtt17PTW6Zg"
0,4,0,1,4,0,0,5,0,7,4,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,0,1,2,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,3,1,1,2,3,2,2,"gebiRewfieSdtt17PTW6Zg"
0,4,0,0,10,0,2,8,1,10,8,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,1,2,0,4,5,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,1,0,1,1,0,1,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,1,1,0,1,2,"gebiRewfieSdtt17PTW6Zg"
2,2,3,1,3,2,0,2,3,5,5,"gebiRewfieSdtt17PTW6Zg"
0,4,0,0,5,0,1,4,0,5,7,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,0,2,0,3,2,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,2,0,0,2,0,2,1,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,0,3,0,3,2,"gebiRewfieSdtt17PTW6Zg"
1,2,0,1,3,1,2,1,2,4,4,"gebiRewfieSdtt17PTW6Zg"
1,1,1,0,3,1,0,4,1,5,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,1,1,2,0,3,6,"gebiRewfieSdtt17PTW6Zg"
0,1,0,1,3,0,1,4,0,6,5,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,0,1,2,"gebiRewfieSdtt17PTW6Zg"
0,5,0,2,4,2,2,3,3,6,4,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,3,1,0,2,1,4,4,"gebiRewfieSdtt17PTW6Zg"
1,6,2,2,4,3,0,2,8,8,-1,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,0,0,2,1,"gebiRewfieSdtt17PTW6Zg"
0,3,0,0,2,0,1,3,0,4,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,0,0,2,0,3,2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,1,3,0,1,2,0,4,3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,0,0,2,3,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,0,2,0,3,2,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,0,3,1,5,4,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,1,0,2,1,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,4,0,1,2,1,7,4,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,4,0,0,3,1,5,3,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,1,2,0,3,3,"gebiRewfieSdtt17PTW6Zg"
1,1,1,2,3,2,0,5,3,8,5,"gebiRewfieSdtt17PTW6Zg"
0,4,0,1,2,1,1,3,2,3,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,3,0,1,2,0,4,3,"gebiRewfieSdtt17PTW6Zg"
1,2,1,1,1,1,1,2,3,6,3,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,0,0,0,0,0,1,0,"gebiRewfieSdtt17PTW6Zg"
1,2,1,1,4,1,1,3,3,5,8,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,2,1,1,3,1,3,4,"gebiRewfieSdtt17PTW6Zg"
1,5,1,2,3,1,2,2,2,3,3,"gebiRewfieSdtt17PTW6Zg"
0,5,0,2,4,2,2,3,3,6,4,"gebiRewfieSdtt17PTW6Zg"
0,1,0,1,2,0,1,2,0,2,1,"gebiRewfieSdtt17PTW6Zg"
0,0,0,1,3,0,0,3,0,3,2,"gebiRewfieSdtt17PTW6Zg"
2,7,0,1,8,1,4,7,2,11,6,"gebiRewfieSdtt17PTW6Zg"
1,2,0,0,3,0,0,3,0,6,9,"gebiRewfieSdtt17PTW6Zg"
0,1,0,0,1,0,1,1,0,1,2,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,1,0,0,2,0,2,2,"gebiRewfieSdtt17PTW6Zg"
0,2,0,1,4,0,0,4,1,8,4,"gebiRewfieSdtt17PTW6Zg"
1,0,1,1,1,1,0,1,1,2,4,"gebiRewfieSdtt17PTW6Zg"
1,2,1,1,1,1,1,3,1,3,1,"gebiRewfieSdtt17PTW6Zg"
0,0,0,0,5,0,0,3,0,6,4,"gebiRewfieSdtt17PTW6Zg"
1,3,1,1,2,1,1,4,3,6,5,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,3,0,1,2,1,3,3,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,2,0,0,2,0,6,6,"gebiRewfieSdtt17PTW6Zg"
1,0,1,0,1,1,0,1,1,2,1,"gebiRewfieSdtt17PTW6Zg"
0,2,0,0,1,0,1,2,0,3,2,"gebiRewfieSdtt17PTW6Zg"
